AHNAK2-1	Q8IVF2	ENSG00000185567
APBA1-1	Q02410	ENSG00000107282
APBA1-2	Q02410	ENSG00000107282
APBA2-1	Q99767	ENSG00000034053
APBA2-2	Q99767	ENSG00000034053
APBA3-1	O96018	ENSG00000011132
APBA3-2	O96018	ENSG00000011132
ARHGAP21-1	Q5T5U3	ENSG00000107863
ARHGAP23-1	Q9P227	ENSG00000275832
ARHGEF11-1	O15085	ENSG00000132694
ARHGEF12-1	Q9NZN5	ENSG00000196914
CAR14-1	Q9BXL6	ENSG00000141527
CASK-1	P07498	ENSG00000171209
CNKR1-1	Q969H4	ENSG00000142675
CNKSR2-1	Q8WXI2	ENSG00000149970
CNKSR3-1	Q6P9H4	ENSG00000153721
DEPTOR-1	Q8TB45	ENSG00000155792
DLG1-1	Q12959	ENSG00000075711
DLG1-2	Q12959	ENSG00000075711
DLG1-3	Q12959	ENSG00000075711
DLG2-1	Q15700	ENSG00000150672
DLG2-2	Q15700	ENSG00000150672
DLG2-3	Q15700	ENSG00000150672
DLG3-1	Q92796	ENSG00000082458
DLG3-2	Q92796	ENSG00000082458
DLG3-3	Q92796	ENSG00000082458
DLG4-1	P78352	ENSG00000132535
DLG4-2	P78352	ENSG00000132535
DLG4-3	P78352	ENSG00000132535
DLG5-3	Q8TDM6	ENSG00000151208
DLG5-4	Q8TDM6	ENSG00000151208
DVL1-1	O14640	ENSG00000107404
DVL1L1-1	P54792	ENSG00000107404
DVL2-1	O14641	ENSG00000004975
DVL3-1	Q92997	ENSG00000161202
ERBB2IP-1	Q96RT1	ENSG00000112851
FRMPD1-1	Q5SYB0	ENSG00000070601
FRMPD2-2	Q68DX3	ENSG00000170324
FRMPD2-3	Q68DX3	ENSG00000170324
FRMPD3-1	Q5JV73	ENSG00000147234
FRMPD4-1	Q14CM0	ENSG00000169933
GIPC1-1	O14908	ENSG00000123159
GIPC2-1	Q8TF65	ENSG00000137960
GIPC3-1	Q8TF64	ENSG00000179855
GOPC-1	Q9HD26	ENSG00000047932
GORASP2-1	Q9H8Y8	ENSG00000115806
GRD2I-1	A4D2P6	ENSG00000215045
GRD2I-2	A4D2P6	ENSG00000215045
GRIP1-1	Q9Y3R0	ENSG00000155974
GRIP1-2	Q9Y3R0	ENSG00000155974
GRIP1-3	Q9Y3R0	ENSG00000155974
GRIP1-4	Q9Y3R0	ENSG00000155974
GRIP1-5	Q9Y3R0	ENSG00000155974
GRIP1-6	Q9Y3R0	ENSG00000155974
GRIP1-7	Q9Y3R0	ENSG00000155974
GRIP2-1	Q9C0E4	ENSG00000144596
GRIP2-2	Q9C0E4	ENSG00000144596
GRIP2-3	Q9C0E4	ENSG00000144596
GRIP2-4	Q9C0E4	ENSG00000144596
GRIP2-5	Q9C0E4	ENSG00000144596
GRIP2-6	Q9C0E4	ENSG00000144596
GRIP2-7	Q9C0E4	ENSG00000144596
HTRA1-1	Q92743	ENSG00000166033
HTRA2-1	O43464	ENSG00000115317
HTRA3-1	P83110	ENSG00000170801
IL16-1	Q14005	ENSG00000172349
IL16-3	Q14005	ENSG00000172349
INADL-1	Q8NI35	ENSG00000132849
INADL-2	Q8NI35	ENSG00000132849
INADL-3	Q8NI35	ENSG00000132849
INADL-5	Q8NI35	ENSG00000132849
INADL-6	Q8NI35	ENSG00000132849
INADL-7	Q8NI35	ENSG00000132849
INADL-8	Q8NI35	ENSG00000132849
INADL-9	Q8NI35	ENSG00000132849
INADL-10	Q8NI35	ENSG00000132849
LDB3-1	O75112	ENSG00000122367
LIMK1-1	P53667	ENSG00000106683
LIMK2-1	P53671	ENSG00000182541
LIN7A-1	O14910	ENSG00000111052
LIN7B-1	Q9HAP6	ENSG00000104863
LIN7C-1	Q9NUP9	ENSG00000148943
LMO7-1	Q8WWI1	ENSG00000136153
LRRC7-1	Q96NW7	ENSG00000033122
MAGI1-2	Q96QZ7	ENSG00000151276
MAGI1-3	Q96QZ7	ENSG00000151276
MAGI1-4	Q96QZ7	ENSG00000151276
MAGI1-5	Q96QZ7	ENSG00000151276
MAGI1-6	Q96QZ7	ENSG00000151276
MAGI2-1	Q86UL8	ENSG00000187391
MAGI2-2	Q86UL8	ENSG00000187391
MAGI2-3	Q86UL8	ENSG00000187391
MAGI2-4	Q86UL8	ENSG00000187391
MAGI2-5	Q86UL8	ENSG00000187391
MAGI2-6	Q86UL8	ENSG00000187391
MAGI3-2	Q5TCQ9	ENSG00000081026
MAGI3-3	Q5TCQ9	ENSG00000081026
MAGI3-4	Q5TCQ9	ENSG00000081026
MAGI3-5	Q5TCQ9	ENSG00000081026
MAGI3-6	Q5TCQ9	ENSG00000081026
MAST1-1	Q9Y2H9	ENSG00000105613
MAST2-1	Q6P0Q8	ENSG00000086015
MAST3-1	O60307	ENSG00000099308
MLLT4-1	P55196	ENSG00000130396
MPDZ-1	O75970	ENSG00000107186
MPDZ-2	O75970	ENSG00000107186
MPDZ-3	O75970	ENSG00000107186
MPDZ-4	O75970	ENSG00000107186
MPDZ-5	O75970	ENSG00000107186
MPDZ-6	O75970	ENSG00000107186
MPDZ-7	O75970	ENSG00000107186
MPDZ-8	O75970	ENSG00000107186
MPDZ-9	O75970	ENSG00000107186
MPDZ-10	O75970	ENSG00000107186
MPDZ-11	O75970	ENSG00000107186
MPDZ-12	O75970	ENSG00000107186
MPDZ-13	O75970	ENSG00000107186
MPP1-1	Q00013	ENSG00000130830
MPP3-1	Q13368	ENSG00000161647
MPP5-1	Q8N3R9	ENSG00000072415
MPP4-1	Q96JB8	ENSG00000082126
MPP6-1	Q9NZW5	ENSG00000105926
MYO18A-1	Q92614	ENSG00000196535
NOS1-1	P29475	ENSG00000089250
PARD3-1	Q8TEW0	ENSG00000148498
PARD3-3	Q8TEW0	ENSG00000148498
PARD3B-1	Q8TEW8	ENSG00000116117
PARD3B-2	Q8TEW8	ENSG00000116117
PARD3B-3	Q8TEW8	ENSG00000116117
PARD6A-1	Q9NPB6	ENSG00000102981
PARD6B-1	Q9BYG5	ENSG00000124171
PARD6G-1	Q9BYG4	ENSG00000178184
PDLIM1-1	O00151	ENSG00000107438
PDLIM2-1	Q96JY6	ENSG00000120913
PDLIM3-1	Q53GG5	ENSG00000154553
PDLIM4-1	P50479	ENSG00000131435
PDLIM5-1	Q96HC4	ENSG00000163110
PDLIM7-1	Q9NR12	ENSG00000196923
PDZD11-1	Q5EBL8	ENSG00000120509
PDZD2-2	O15018	ENSG00000133401
PDZD2-3	O15018	ENSG00000133401
PDZD2-4	O15018	ENSG00000133401
PDZD2-5	O15018	ENSG00000133401
PDZD3-1	Q86UT5	ENSG00000172367
PDZD3-2	Q86UT5	ENSG00000172367
PDZD3-3	Q86UT5	ENSG00000172367
PDZD4-1	Q76G19	ENSG00000067840
PDZD7-1	Q9H5P4	ENSG00000186862
PDZK1-1	Q5T2W1	ENSG00000174827
PDZK1-2	Q5T2W1	ENSG00000174827
PDZK1-3	Q5T2W1	ENSG00000174827
PDZK1-4	Q5T2W1	ENSG00000174827
PDZRN3-1	Q9UPQ7	ENSG00000121440
PDZRN3-2	Q9UPQ7	ENSG00000121440
PDZRN4-1	Q6ZMN7	ENSG00000165966
PDZRN4-2	Q6ZMN7	ENSG00000165966
PICK1-1	Q9NRD5	ENSG00000100151
PPP1R9A-1	Q9ULJ8	ENSG00000158528
PPP1R9B-1	Q96SB3	ENSG00000108819
PSCDBP-1	O60759	ENSG00000115165
PTPN13-1	Q12923	ENSG00000163629
PTPN13-2	Q12923	ENSG00000163629
PTPN13-3	Q12923	ENSG00000163629
PTPN13-4	Q12923	ENSG00000163629
PTPN13-5	Q12923	ENSG00000163629
PTPN3-1	P26045	ENSG00000070159
PTPN4-1	P29074	ENSG00000088179
RADIL-1	Q96JH8	ENSG00000157927
RAPGEF6-1	Q8TEU7	ENSG00000158987
RGS12-1	O14924	ENSG00000159788
RGS3-1	P49796	ENSG00000138835
RHPN1-1	Q8TCX5	ENSG00000158106
RHPN2-1	Q8IUC4	ENSG00000131941
RIMS1-1	Q86UR5	ENSG00000079841
SCRIB-1	Q14160	ENSG00000180900
SCRIB-2	Q14160	ENSG00000180900
SCRIB-3	Q14160	ENSG00000180900
SCRIB-4	Q14160	ENSG00000180900
SDCBP-1	O00560	ENSG00000137575
SDCBP-2	O00560	ENSG00000137575
SDCBP2-1	Q9H190	ENSG00000125775
SDCBP2-2	Q9H190	ENSG00000125775
SHANK2-1	Q9UPX8	ENSG00000162105
SHANK3-1	Q9BYB0	ENSG00000251322
SHROOM3-1	Q8TF72	ENSG00000138771
SHROOM4-1	Q9ULL8	ENSG00000158352
SIPA1-1	Q96FS4	ENSG00000213445
SIPA1L1-1	O43166	ENSG00000197555
SIPA1L2-1	Q9P2F8	ENSG00000116991
SIPA1L3-1	O60292	ENSG00000105738
SLC9A3R1-1	O14745	ENSG00000109062
SLC9A3R1-2	O14745	ENSG00000109062
SLC9A3R2-2	Q15599	ENSG00000065054
SNTA1-1	Q13424	ENSG00000101400
SNTB1-1	Q13884	ENSG00000172164
SNTB2-1	Q13425	ENSG00000168807
SNTG1-1	Q9NSN8	ENSG00000147481
SNTG2-1	Q9NY99	ENSG00000172554
SYNJ2BP-1	P57105	ENSG00000213463
SYNPO2-1	Q9UMS6	ENSG00000172403
SYNPO2L-1	Q9H987	ENSG00000166317
TIAM1-1	Q13009	ENSG00000156299
TIAM2-1	Q8IVF5	ENSG00000146426
TJP1-1	Q07157	ENSG00000104067
TJP1-2	Q07157	ENSG00000104067
TJP1-3	Q07157	ENSG00000104067
TJP2-1	Q9UDY2	ENSG00000119139
TJP2-2	Q9UDY2	ENSG00000119139
TJP2-3	Q9UDY2	ENSG00000119139
TJP3-1	O95049	ENSG00000105289
TJP3-2	O95049	ENSG00000105289
TJP3-3	O95049	ENSG00000105289
USH1C-1	Q9Y6N9	ENSG00000006611
USH1C-2	Q9Y6N9	ENSG00000006611
USH1C-3	Q9Y6N9	ENSG00000006611
WHRN-1	Q9P202	ENSG00000095397
WHRN-2	Q9P202	ENSG00000095397
WHRN-3	Q9P202	ENSG00000095397
